Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/1/2017 0:00,2017,1,1,0,505,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 1:00,2017,1,1,1,485,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 2:00,2017,1,1,2,466,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 3:00,2017,1,1,3,435,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 4:00,2017,1,1,4,405,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 5:00,2017,1,1,5,402,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 6:00,2017,1,1,6,407,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 7:00,2017,1,1,7,435,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 8:00,2017,1,1,8,472,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 9:00,2017,1,1,9,465,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 10:00,2017,1,1,10,473,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 11:00,2017,1,1,11,456,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 12:00,2017,1,1,12,474,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 13:00,2017,1,1,13,510,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 14:00,2017,1,1,14,596,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 15:00,2017,1,1,15,580,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 16:00,2017,1,1,16,556,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 17:00,2017,1,1,17,522,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 18:00,2017,1,1,18,495,?g/m?,1 Hr,Valid
Beijing,PM2.5,1/1/2017 19:00,2017,1,1,19,500,?g/m?,1 Hr,Valid
