Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/1/2017 0:00,2017,1,1,0,120,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 1:00,2017,1,1,1,121,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 2:00,2017,1,1,2,127,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 3:00,2017,1,1,3,128,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 4:00,2017,1,1,4,135,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 5:00,2017,1,1,5,133,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 6:00,2017,1,1,6,141,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 7:00,2017,1,1,7,143,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 8:00,2017,1,1,8,158,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 9:00,2017,1,1,9,162,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 10:00,2017,1,1,10,176,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 11:00,2017,1,1,11,184,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 12:00,2017,1,1,12,199,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 13:00,2017,1,1,13,202,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 14:00,2017,1,1,14,221,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 15:00,2017,1,1,15,223,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 16:00,2017,1,1,16,238,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 17:00,2017,1,1,17,235,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 18:00,2017,1,1,18,253,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 19:00,2017,1,1,19,255,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 20:00,2017,1,1,20,258,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 21:00,2017,1,1,21,267,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 22:00,2017,1,1,22,263,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/1/2017 23:00,2017,1,1,23,273,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 0:00,2017,1,2,0,265,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 1:00,2017,1,2,1,250,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 2:00,2017,1,2,2,247,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/2/2017 3:00,2017,1,2,3,233,?g/m?,1 Hr,Valid
